5 Stars,1 Star,En_Category,Install_con,Cleaned_Name,Rate
86,6,vrzshy,10000,4K,4
0,0,vrzshy,10,Athletic,0
91,2,tnasb andam,50000,30,4
0,0,vrzshy,10,All,0
73,7,vrzshy,10000,پاتوپ,4
0,0,vrzshy,10,myTicket,0
0,0,vrzshy,10,V,0
94,6,vrzshy,5000,Manchester,4
0,0,vrzshy,10,TacticalPad,0
0,0,vrzshy,10,Body,0
0,0,vrzshy,10,Sports,0
95,4,vrzshy,500,بتاکاپ,4
0,0,vrzshy,10,Duckworth,0
0,0,vrzshy,10,MASTERBET,0
0,0,vrzshy,10,Fishbox,0
0,0,vrzshy,10,Bet,0
0,0,vrzshy,10,PredictWind,0
0,0,vrzshy,10,Bet,0
0,0,vrzshy,10,Air,0
0,0,vrzshy,10,Cricket,0
0,0,vrzshy,10,Boxing,0
0,0,vrzshy,10,Smartcric,0
100,0,vrzshy,10,باشگاه,5
75,9,amvr maly,200000,فام(اپلیکیشن,4
0,0,vrzshy,10,Cricket,0
0,0,vrzshy,10,Deer,0
84,4,vrzshy,100000,نتایج,4
0,0,vrzshy,10,Dream,0
0,0,vrzshy,10,Stickers,0
0,0,vrzshy,10,L,0
0,0,vrzshy,10,GEYE,0
0,0,vrzshy,10,InSports,0
0,0,vrzshy,10,Women's,0
0,0,vrzshy,10,Major,0
0,0,vrzshy,10,LA,0
0,0,vrzshy,10,New,0
0,0,vrzshy,10,HB,0
0,0,vrzshy,10,Karate,0
0,0,vrzshy,10,Betting,0
0,0,vrzshy,10,3D,0
0,0,vrzshy,10,Sure,0
0,0,vrzshy,10,PowUnity,0
0,0,vrzshy,10,SuperSport,0
0,0,vrzshy,10,GameDay,0
0,0,vrzshy,10,Toss,0
0,0,vrzshy,10,LMP,0
0,0,vrzshy,10,UWW,0
83,7,vrzshy,2000,forma,4
0,0,vrzshy,10,Horse,0
0,0,vrzshy,10,Sneaker,0
0,0,vrzshy,10,Junior,0
0,0,vrzshy,10,Sport,0
80,6,srgrmy,20000000,تلوبیون,4
0,0,vrzshy,10,I.P.L,0
0,0,vrzshy,10,Betting,0
0,0,vrzshy,10,UAE,0
0,0,vrzshy,10,Timberwolves,0
82,5,vrzshy,50000,فرمهای,4
0,0,vrzshy,10,NZ,0
0,0,vrzshy,10,Live,0
83,6,vrzshy,20000,365Scores,4
75,6,vrzshy,10000,LiveScore,4
100,0,vrzshy,500,XCTrack,5
0,0,vrzshy,10,Player,0
0,0,vrzshy,10,Chronogolf,0
0,0,vrzshy,10,Cricket,0
0,0,vrzshy,10,Betting,0
0,0,vrzshy,10,Live,0
0,0,vrzshy,10,Running,0
0,0,vrzshy,10,MixedMartialArts.com,0
0,0,vrzshy,10,PROF,0
0,0,vrzshy,10,AllStar,0
0,0,vrzshy,10,TennisMatik,0
0,0,vrzshy,10,Fubles,0
0,0,vrzshy,10,Pitch,0
100,0,vrzshy,50,والیبال,5
0,0,vrzshy,10,HuntSmart,0
0,0,vrzshy,10,CricZoo,0
0,0,vrzshy,10,Fantasy,0
0,0,vrzshy,10,CricWhiz,0
0,0,vrzshy,10,SWISH,0
0,0,mzhby,10,دعای,0
100,0,mzhby,2000,آثار,5
100,0,mzhby,10,جامع,5
87,2,mzhby,50000,حدیث,4
0,0,mzhby,10,یاسین,0
0,0,mzhby,10,گنبد,0
82,4,mzhby,20000,آموزش,4
100,0,mzhby,500,آیت,5
0,0,mzhby,10,قلم,0
86,3,mzhby,20000,حفظ,4
0,0,mzhby,10,دعای,0
54,30,mzhby,100000,معلی,3
78,3,mzhby,20000,قران,4
0,0,mzhby,10,قلم,0
65,16,mzhby,10000,آموزش,3
0,0,mzhby,10,قلم,0
100,0,mzhby,10,زیارت,5
100,0,mzhby,10,شاخه,5
79,4,mzhby,20000,My,4
0,0,mzhby,10,جوشن,0
0,0,mzhby,10,دعای,0
0,0,mzhby,10,دعای,0
87,3,mzhby,500000,دعای,4
79,4,mzhby,50000,تقویم,4
90,2,mzhby,200000,دعای,4
85,2,mzhby,20000,العادیات،,4
0,0,mzhby,10,دعای,0
100,0,mzhby,10,حرم,5
100,0,mzhby,10,ذکر,5
89,2,mzhby,50000,زیارت,4
0,0,mzhby,10,قلم,0
0,0,mzhby,10,دعای,0
78,8,mzhby,50000,قرآن,4
100,0,mzhby,10,دعای,5
0,0,mzhby,10,دعای,0
0,0,mzhby,10,قلم,0
84,2,mzhby,10000,احکام,4
0,0,mzhby,10,قلم,0
0,0,mzhby,10,قلم,0
100,0,mzhby,10,جوشن,5
67,15,mzhby,50000,نهج,4
0,0,mzhby,10,ختم,0
71,10,mzhby,10000,دانشنامه,4
100,0,mzhby,50,چطور,5
0,0,mzhby,10,دعای,0
0,0,mzhby,10,قلم,0
0,0,mzhby,10,دعای,0
0,0,mzhby,10,قلم,0
100,0,mzhby,10,حرم,5
52,30,mzhby,10000,هم,3
100,0,mzhby,10,دعای,5
91,2,mzhby,1000000,زیارت,4
0,0,mzhby,10,قلم,0
0,0,mzhby,10,قلم,0
0,0,mzhby,10,قلم,0
0,0,mzhby,10,قلم,0
81,10,mzhby,10000,شمس,4
0,0,mzhby,10,قلم,0
0,0,mzhby,10,قلم,0
0,0,mzhby,10,قلم,0
0,0,mzhby,10,ذکر,0
0,0,mzhby,10,قلم,0
0,0,mzhby,10,دعای,0
0,0,mzhby,10,دعای,0
70,0,mzhby,2000,همراهی,3
82,6,mzhby,50000,رادیو,4
0,0,mzhby,10,قلم,0
0,0,mzhby,10,دعای,0
0,0,mzhby,10,زیارت,0
88,2,mzhby,200000,آیت,4
81,2,mzhby,200000,باب,4
91,2,آmvzsh,20000,قَلت(!),4
81,3,mzhby,20000,مداحی,4
80,7,kvdk,200000,قصه,4
91,3,mzhby,10000,پرسمان,4
0,0,mzhby,10,قلم,0
